sitting_id,trial,duration,start_time,type,capacity,samediff,response,correct,rt,state
1156210,1,730,"2015-09-04 14:29:15",practice,1,same,l,1,578.89,keyup
1156210,2,730,"2015-09-04 14:29:15",practice,2,different,a,1,1189.03,keyup
1156210,3,730,"2015-09-04 14:29:15",practice,2,same,l,1,636.07,keyup
1156210,4,730,"2015-09-04 14:29:15",practice,2,same,l,1,702.26,keyup
1156210,5,730,"2015-09-04 14:29:15",practice,2,different,a,1,3001.49,keyup
1156210,6,730,"2015-09-04 14:29:15",practice,2,different,l,0,723.45,keyup
1156210,7,730,"2015-09-04 14:29:15",practice,2,different,a,1,191.10,keyup
1156210,8,730,"2015-09-04 14:29:15",practice,3,same,l,1,520.45,keyup
1156210,9,730,"2015-09-04 14:29:15",practice,3,different,a,1,316.53,keyup
1156210,10,730,"2015-09-04 14:29:15",test,3,different,a,1,354.17,keyup
1156210,11,730,"2015-09-04 14:29:15",test,4,same,l,1,601.91,keyup
1156210,12,730,"2015-09-04 14:29:15",test,5,same,l,1,6925.61,keyup
1156210,13,730,"2015-09-04 14:29:15",test,6,different,l,0,937.51,keyup
1156210,14,730,"2015-09-04 14:29:15",test,5,same,l,1,858.60,keyup
1156210,15,730,"2015-09-04 14:29:15",test,5,different,l,0,789.60,keyup
1156210,16,730,"2015-09-04 14:29:15",test,4,same,a,0,986.29,keyup
1156210,17,730,"2015-09-04 14:29:15",test,3,same,a,0,742.13,keyup
1156210,18,730,"2015-09-04 14:29:15",test,2,same,a,0,2667.57,keyup
1156210,19,730,"2015-09-04 14:29:15",test,1,same,l,1,718.00,keyup
1156210,20,730,"2015-09-04 14:29:15",test,1,same,l,1,487.71,keyup
1156210,21,730,"2015-09-04 14:29:15",test,2,different,a,1,760.33,keyup
1156210,22,730,"2015-09-04 14:29:15",test,3,same,l,1,1140.58,keyup
1156210,23,730,"2015-09-04 14:29:15",test,4,different,a,1,636.44,keyup
1156210,24,730,"2015-09-04 14:29:15",test,5,different,l,0,563.22,keyup
1156210,25,730,"2015-09-04 14:29:15",test,4,same,a,0,3770.95,keyup
1156210,26,730,"2015-09-04 14:29:15",test,3,different,l,0,633.11,keyup
1156210,27,730,"2015-09-04 14:29:15",test,2,same,a,0,327.03,keyup
1156210,28,730,"2015-09-04 14:29:15",test,1,different,l,0,940.41,keyup
1156210,29,730,"2015-09-04 14:29:15",test,1,different,a,1,901.32,keyup
1156210,30,730,"2015-09-04 14:29:15",test,1,different,a,1,1327.86,keyup
1156210,31,730,"2015-09-04 14:29:15",test,2,same,l,1,805.86,keyup
1156210,32,730,"2015-09-04 14:29:15",test,3,different,l,0,406.30,keyup
1156210,33,730,"2015-09-04 14:29:15",test,2,different,a,1,639.16,keyup
1156279,1,497,"2015-09-04 15:23:23",practice,1,same,a,0,1156.89,keyup
1156279,2,497,"2015-09-04 15:23:23",practice,1,same,s,0,602.45,keyup
1156279,3,497,"2015-09-04 15:23:23",practice,1,same,l,1,448.64,keyup
1156279,4,497,"2015-09-04 15:23:23",practice,2,different,a,1,499.52,keyup
1156279,5,497,"2015-09-04 15:23:23",practice,2,same,a,0,1578.93,keyup
1156279,6,497,"2015-09-04 15:23:23",practice,2,same,l,1,431.79,keyup
1156279,7,497,"2015-09-04 15:23:23",practice,2,same,l,1,376.26,keyup
1156279,8,497,"2015-09-04 15:23:23",practice,2,different,a,1,417.24,keyup
1156279,9,497,"2015-09-04 15:23:23",practice,2,different,a,1,1120.86,keyup
1156279,10,497,"2015-09-04 15:23:23",practice,3,same,l,1,1190.13,keyup
1156279,11,497,"2015-09-04 15:23:23",practice,3,different,a,1,463.74,keyup
1156279,12,497,"2015-09-04 15:23:23",test,3,different,a,1,357.18,keyup
1156279,13,497,"2015-09-04 15:23:23",test,4,same,l,1,387.42,keyup
1156279,14,497,"2015-09-04 15:23:23",test,5,same,l,1,1087.62,keyup
1156279,15,497,"2015-09-04 15:23:23",test,6,different,l,0,2193.15,keyup
1156279,16,497,"2015-09-04 15:23:23",test,5,same,d,0,4411.01,keyup
1156279,17,497,"2015-09-04 15:23:23",test,4,different,OSleft,0,3355.35,keyup
1156279,18,497,"2015-09-04 15:23:23",test,3,same,s,0,18790.77,keyup
1156279,19,497,"2015-09-04 15:23:23",test,2,same,d,0,24867.98,keyup
1156279,20,497,"2015-09-04 15:23:23",test,1,same,s,0,45103.10,keyup
1156279,21,497,"2015-09-04 15:23:23",test,1,same,s,0,2239.27,keyup
1156279,22,497,"2015-09-04 15:23:23",test,1,same,s,0,17678.43,keyup
1156279,23,497,"2015-09-04 15:23:23",test,1,different,d,0,306.54,keyup
1156279,24,497,"2015-09-04 15:23:23",test,1,same,s,0,331.43,keyup
1156279,25,497,"2015-09-04 15:23:23",test,1,different,s,0,378.49,keyup
1156279,26,497,"2015-09-04 15:23:23",test,1,different,space,0,380.08,keyup
1156279,27,497,"2015-09-04 15:23:23",test,1,same,s,0,651.12,keyup
1156279,28,497,"2015-09-04 15:23:23",test,1,different,space,0,479.35,keyup
1156279,29,497,"2015-09-04 15:23:23",test,1,same,space,0,515.13,keyup
1156279,30,497,"2015-09-04 15:23:23",test,1,different,space,0,530.59,keyup
1156279,31,497,"2015-09-04 15:23:23",test,1,different,space,0,347.36,keyup
1156279,32,497,"2015-09-04 15:23:23",test,1,different,space,0,6665.87,keyup
1156279,33,497,"2015-09-04 15:23:23",test,1,same,space,0,5940.57,keyup
1156279,34,497,"2015-09-04 15:23:23",test,1,different,space,0,7791.16,keyup
