sitting_id,trial,duration,start_time,type,correctResponse,response,correct,rt
1154058,1,384,"2015-09-02 15:23:09",prac_test,3,3,1,5817
1154058,2,384,"2015-09-02 15:23:09",prac_test,1,1,1,1965
1154058,3,384,"2015-09-02 15:23:09",inst2,0,0,1,1456
1154058,4,384,"2015-09-02 15:23:09",testbig,2,2,1,1656
1154058,5,384,"2015-09-02 15:23:09",test,1,1,1,6120
1154058,6,384,"2015-09-02 15:23:09",test,4,4,1,5476
1154058,7,384,"2015-09-02 15:23:09",test,3,1,0,3359
1154058,8,384,"2015-09-02 15:23:09",test,1,1,1,1819
1154058,9,384,"2015-09-02 15:23:09",test,3,1,0,65030
1154058,10,384,"2015-09-02 15:23:09",test,3,1,0,397
1154058,11,384,"2015-09-02 15:23:09",test,4,1,0,329
1154157,1,202,"2015-09-02 17:17:56",prac_test,3,3,1,3424
1154157,2,202,"2015-09-02 17:17:56",prac_test,1,1,1,1824
1154157,3,202,"2015-09-02 17:17:56",inst2,0,0,1,1680
1154157,4,202,"2015-09-02 17:17:56",testbig,2,2,1,2141
1154157,5,202,"2015-09-02 17:17:56",test,1,1,1,6324
1154157,6,202,"2015-09-02 17:17:56",test,4,4,1,3235
1154157,7,202,"2015-09-02 17:17:56",test,3,3,1,1902
1154157,8,202,"2015-09-02 17:17:56",test,1,1,1,2278
1154157,9,202,"2015-09-02 17:17:56",test,3,3,1,2151
1154157,10,202,"2015-09-02 17:17:56",test,3,3,1,2981
1154157,11,202,"2015-09-02 17:17:56",test,4,4,1,3595
1154157,12,202,"2015-09-02 17:17:56",test,4,4,1,5807
1154157,13,202,"2015-09-02 17:17:56",test,1,1,1,3959
1154157,14,202,"2015-09-02 17:17:56",test,5,5,1,4263
1154157,15,202,"2015-09-02 17:17:56",test,1,1,1,7571
1154157,16,202,"2015-09-02 17:17:56",test,2,2,1,2848
1154157,17,202,"2015-09-02 17:17:56",test,3,3,1,4803
1154157,18,202,"2015-09-02 17:17:56",test,2,2,1,4799
1154157,19,202,"2015-09-02 17:17:56",test,5,5,1,3530
1154157,20,202,"2015-09-02 17:17:56",test,4,4,1,4754
1154157,21,202,"2015-09-02 17:17:56",test,2,1,0,2935
1154157,22,202,"2015-09-02 17:17:56",test,1,1,1,6287
1154157,23,202,"2015-09-02 17:17:56",test,2,2,1,5132
1154157,24,202,"2015-09-02 17:17:56",test,5,5,1,6445
1154157,25,202,"2015-09-02 17:17:56",testsmall,3,3,1,15139
1154157,26,202,"2015-09-02 17:17:56",test,1,1,1,2419
1154157,27,202,"2015-09-02 17:17:56",testbig,3,3,1,7786
1154157,28,202,"2015-09-02 17:17:56",test,4,4,1,4016
1154157,29,202,"2015-09-02 17:17:56",test,3,3,1,3222
1154157,30,202,"2015-09-02 17:17:56",testbig,5,1,0,9632
1154157,31,202,"2015-09-02 17:17:56",testbig,4,4,1,5644
1154157,32,202,"2015-09-02 17:17:56",test,5,5,1,19115
1154157,33,202,"2015-09-02 17:17:56",test,4,3,0,2252
1154157,34,202,"2015-09-02 17:17:56",test,1,3,0,2218
1154157,35,202,"2015-09-02 17:17:56",testsmall,5,3,0,1134
1154817,1,145,"2015-09-03 09:41:03",prac_test,3,3,1,2576
1154817,2,145,"2015-09-03 09:41:03",prac_test,1,1,1,1535
1154817,3,145,"2015-09-03 09:41:03",inst2,0,0,1,2440
1154817,4,145,"2015-09-03 09:41:03",testbig,2,2,1,2004
1154817,5,145,"2015-09-03 09:41:03",test,1,1,1,1791
1154817,6,145,"2015-09-03 09:41:03",test,4,4,1,2437
1154817,7,145,"2015-09-03 09:41:03",test,3,3,1,1671
1154817,8,145,"2015-09-03 09:41:03",test,1,1,1,1999
1154817,9,145,"2015-09-03 09:41:03",test,3,3,1,2080
1154817,10,145,"2015-09-03 09:41:03",test,3,3,1,2324
1154817,11,145,"2015-09-03 09:41:03",test,4,4,1,8504
1154817,12,145,"2015-09-03 09:41:03",test,4,4,1,2291
1154817,13,145,"2015-09-03 09:41:03",test,1,1,1,2300
1154817,14,145,"2015-09-03 09:41:03",test,5,5,1,2110
1154817,15,145,"2015-09-03 09:41:03",test,1,1,1,2456
1154817,16,145,"2015-09-03 09:41:03",test,2,2,1,2828
1154817,17,145,"2015-09-03 09:41:03",test,3,3,1,1979
